Execução    Período (ms)     Jitter (ms)
     519          30.265           0.265
     520          30.386           0.386
     521          30.290           0.290
     522          30.303           0.303
     523          30.265           0.265
     524          30.200           0.200
     525          30.126           0.126
     526          30.123           0.123
     527          30.137           0.137
     528          30.276           0.276
     529          30.300           0.300
     530          30.399           0.399
     531          30.399           0.399
     532          30.383           0.383
     533          30.271           0.271
     534          30.264           0.264
     535          30.387           0.387
     536          30.422           0.422
     537          30.392           0.392
     538          30.382           0.382
     539          30.277           0.277
     540          30.110           0.110
     541          30.388           0.388
     542          30.254           0.254
     543          30.363           0.363
     544          30.122           0.122
     545          30.267           0.267
     546          30.261           0.261
     547          30.270           0.270
     548          30.265           0.265
     549          30.226           0.226
     550          30.269           0.269
     551          30.420           0.420
     552          30.374           0.374
     553          30.258           0.258
     554          30.391           0.391
     555          30.383           0.383
     556          30.243           0.243
     557          30.401           0.401
     558          30.271           0.271
     559          30.226           0.226
     560          30.391           0.391
     561          30.283           0.283
     562          30.380           0.380
     563          30.256           0.256
     564          30.386           0.386
     565          30.393           0.393
     566          30.228           0.228
     567          30.271           0.271
     568          30.392           0.392
     569          30.244           0.244
     570          30.392           0.392
     571          30.396           0.396
     572          30.290           0.290
     573          30.103           0.103
     574          30.270           0.270
     575          30.302           0.302
     576          30.190           0.190
     577          30.366           0.366
     578          30.275           0.275
     579          30.127           0.127
     580          30.267           0.267
     581          30.252           0.252
     582          30.260           0.260
     583          30.280           0.280
     584          30.282           0.282
     585          30.379           0.379
     586          30.358           0.358
     587          30.280           0.280
     588          30.279           0.279
     589          30.114           0.114
     590          30.279           0.279
     591          30.412           0.412
     592          30.394           0.394
     593          30.422           0.422
     594          30.264           0.264
     595          30.382           0.382
     596          30.208           0.208
     597          30.277           0.277
     598          30.389           0.389
     599          30.235           0.235
     600          30.267           0.267
     601          30.113           0.113
     602          30.286           0.286
     603          30.226           0.226
     604          30.414           0.414
     605          30.101           0.101
     606          30.391           0.391
     607          30.295           0.295
     608          30.277           0.277
     609          30.117           0.117
     610          30.278           0.278
     611          30.263           0.263
     612          30.093           0.093
     613          30.382           0.382
     614          30.290           0.290
     615          30.226           0.226
     616          30.288           0.288
     617          30.232           0.232
     618          30.388           0.388
     619          30.403           0.403
     620          30.386           0.386
     621          30.274           0.274
     622          30.277           0.277
     623          30.302           0.302
     624          30.284           0.284
     625          30.237           0.237
     626          30.247           0.247
     627          30.204           0.204
     628          30.280           0.280
     629          30.274           0.274
     630          30.384           0.384
     631          30.271           0.271
     632          30.237           0.237
     633          30.388           0.388
     634          30.392           0.392
     635          30.384           0.384
     636          30.392           0.392
     637          30.274           0.274
     638          30.275           0.275
     639          30.376           0.376
     640          30.299           0.299
     641          30.261           0.261
     642          30.255           0.255
     643          30.278           0.278
     644          30.411           0.411
     645          30.386           0.386
     646          30.409           0.409
     647          30.380           0.380
     648          30.381           0.381
     649          30.263           0.263
     650          30.252           0.252
     651          30.383           0.383
     652          30.391           0.391
     653          30.441           0.441
     654          30.272           0.272
     655          30.268           0.268
     656          30.308           0.308
     657          30.530           0.530
     658          30.283           0.283
     659          30.266           0.266
     660          30.309           0.309

Estatísticas dos Períodos:
Média: 30.314 ms
Variância: 0.000009 ms²
Desvio padrão: 0.096 ms
Máximo: 30.563 ms
Mínimo: 30.069 ms

Estatísticas do Jitter:
Média: 0.314 ms
Variância: 0.000009 ms²
Desvio padrão: 0.096 ms
Máximo: 0.563 ms
Mínimo: 0.069 ms
